"tabla","variable","etiqueta","tipo","codigo","categoria"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","18","Kallawaya"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","19","Leco"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","20","Machineri"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","21","Maropa"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","22","Mojeño"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","23","Moré"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","24","Mosetén"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","25","Movima"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","26","Murato"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","27","Pacahuara"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","28","Quechua"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","29","Sirionó"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","30","Tacana"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","31","Tapiete"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","32","Tsimane´"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","33","Weenhayek"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","34","Yaminawa"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","35","Yuqui"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","36","Yurakaré"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","37","Yurakaré - Mojeño"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","39","Jach'a Carangas"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","40","Uru-Chipaya"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","42","Chichas"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","44","Yampara"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","45","Qhara Qhara"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","46","Chiriguano"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","49","Lípez"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","50","Monkox"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","52","Jatun Killacas"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","54","Poroma"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","56","Suyu Sura"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","57","Pucara"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","60","Chuwi"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","65","Calcha"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","66","Chullpas"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","69","Ayllu Yura"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","71","Ayllu Porco"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","72","Charka"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","73","Ayllu Kacachaca"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","74","Ayllu Jukumani"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","75","Ayllu Jila"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","76","Jalq'a"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","78","Uru"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","79","Quila Quila"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","81","Chaqui"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","83","Tinquipaya"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","84","Moro Moro"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","85","Pati Pati"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","87","San Juan"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","90","Pojpo"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","92","Larecaja"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","93","Qullas"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","102","Pakajaqi"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","105","Yapacaní"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","108","Killacas"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","109","Condo"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","112","Challapata"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","113","Lagunillas"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","114","Urmiri de Quillacas"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","116","Pampa Aullagas"
